Timeline,Values,Forecast,Confidence Interval
381,,89.5624525,55.69031807
382,,90.22676215,55.93455574
383,,90.44219511,56.17820341
384,,89.3770085,56.42126921
385,,87.91989502,56.66376105
386,,88.37934852,56.90568675
387,,90.42199648,57.14705393
388,,90.99920982,57.3878701
389,,90.33651705,57.6281426
390,,87.82612367,57.86787866
391,,88.31659376,58.10708535
392,,89.68521202,58.34576963
393,,91.62494628,58.58393833
394,,92.33083964,58.82159814
395,,92.62813691,59.05875565
396,,94.36091868,59.29541731
397,,95.00496516,59.53158947
398,,94.41007928,59.76727837
399,,94.47686849,60.00249013
400,,94.11320065,60.23723076
401,,94.2188281,60.47150619
402,,94.64364087,60.7053222
403,,93.30861501,60.93868453
404,,92.70620402,61.17159878
405,,93.21921903,61.40407048
406,,93.20192968,61.63610503
407,,91.30488734,61.86770779
408,,91.99549456,62.09888399
409,,92.58739722,62.3296388
410,,90.89105745,62.55997729
411,,90.15199468,62.78990445
412,,89.53732085,63.01942519
413,,87.5093226,63.24854435
414,,87.20490039,63.47726667
415,,88.55181021,63.70559684
416,,87.49722268,63.93353947
417,,85.38026208,64.16109907
418,,83.91911812,64.38828012
419,,84.34915892,64.615087
420,,88.77794908,64.84152405
